"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer","hamtaickeaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.legitimationskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.legitimationskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.yrkeskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.apotekspersonal.yrkeskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator","","","",0,1,"","","","BackboneElement {[]} {[]}
","forandrandeOrdinator","Förandrande Ordinatör.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.arbetsplatskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.arbetsplatskod","","","",1,1,"","","","string {[]} {[]}
","arbetsplatskod","Unik kod för identifiering av förskrivarens arbetsplats vid ordinationstillfället. Saknar förskrivare ordinarie arbetsplats anges en grupparbetsplatskod. Arbetsplatskoden anges för att styra ekonomiska transaktioner vid ordinationer inom förmånen.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.arbetsplatskod",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.befattningskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.befattningskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.efternamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.efternamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.fornamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.fornamn",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.forskrivarkod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.forskrivarkod","","","",0,1,"","","","string {[]} {[]}
","forskrivarkod","Förskrivarens individuella 7-ställiga legitimationskod eller förskrivarens gruppförskrivarkod då individuell kod saknas. Gruppförskrivarkod används då förskrivaren saknar individuell förskrivarkod men har via sin roll erhållit förskrivningsrätt. Kan exempelvis vara en AT-läkare eller förskrivare med förordnande. Förskrivarkoden definieras av Socialstyrelsen och gruppförskrivarkoden definieras av eHälsomyndigheten.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.forskrivarkod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.legitimationskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.legitimationskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.yrkeskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.forandrandeOrdinator.yrkeskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.administrator","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.administrator","","","",0,1,"","","","BackboneElement {[]} {[]}
","administrator","Administratör.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.administrator",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.administrator.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.makulering.administrator.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
